time,experiment,package,event
19:54:07.526436,groupby,polars,START
19:54:11.882761,groupby,polars,END
19:54:41.886391,groupby,pandas,START
19:55:13.788520,groupby,pandas,END
19:55:43.804115,read_write,vaex,START
19:57:16.830347,read_write,vaex,END
19:57:46.845054,merge,vaex,START
19:58:43.543143,merge,vaex,END
19:59:13.553794,merge,pandas,START
20:01:17.462880,merge,pandas,END
20:01:47.487116,read_write,polars,START
20:01:52.939161,read_write,polars,END
20:02:22.945452,read_write,dask,START
20:03:40.844189,read_write,dask,END
20:04:10.850586,groupby,polars,START
20:04:15.266162,groupby,polars,END
20:04:45.272742,groupby,vaex,START
20:05:15.059232,groupby,vaex,END
20:05:45.071740,read_write,polars,START
20:05:50.280093,read_write,polars,END
20:06:20.290902,read_write,vaex,START
20:07:57.265573,read_write,vaex,END
20:08:27.282658,merge,polars,START
20:08:48.806223,merge,polars,END
20:09:18.820831,groupby,dask,START
20:09:25.770545,groupby,dask,END
20:09:55.777459,groupby,polars,START
20:10:00.019427,groupby,polars,END
20:10:30.033225,read_write,vaex,START
20:12:02.781107,read_write,vaex,END
20:12:32.785376,read_write,vaex,START
20:14:09.438890,read_write,vaex,END
20:14:39.451786,groupby,dask,START
20:14:46.527272,groupby,dask,END
20:15:16.530525,groupby,vaex,START
20:15:46.207000,groupby,vaex,END
20:16:16.224374,groupby,pandas,START
20:16:49.489057,groupby,pandas,END
20:17:19.495836,groupby,pandas,START
20:17:52.284414,groupby,pandas,END
20:18:22.298750,read_write,pandas,START
20:19:38.601621,read_write,pandas,END
20:20:08.606523,read_write,dask,START
20:21:26.798136,read_write,dask,END
20:21:56.813043,groupby,vaex,START
20:22:26.974734,groupby,vaex,END
20:22:56.987846,merge,dask,START
20:22:57.930411,merge,dask,END
20:23:27.959690,merge,vaex,START
20:24:23.551433,merge,vaex,END
20:24:53.564582,read_write,dask,START
20:26:18.578185,read_write,dask,END
20:26:48.589816,merge,polars,START
20:27:10.454898,merge,polars,END
20:27:40.468912,groupby,polars,START
20:27:45.535393,groupby,polars,END
20:28:15.543432,merge,pandas,START
20:30:15.840514,merge,pandas,END
20:30:45.853693,groupby,dask,START
20:30:52.997290,groupby,dask,END
20:31:23.010979,read_write,dask,START
20:32:39.879718,read_write,dask,END
20:33:09.897513,read_write,pandas,START
20:34:26.105053,read_write,pandas,END
20:34:56.111943,read_write,vaex,START
20:36:30.039069,read_write,vaex,END
20:37:00.050892,groupby,pandas,START
20:37:33.747748,groupby,pandas,END
20:38:03.754127,groupby,dask,START
20:38:10.972654,groupby,dask,END
20:38:40.982593,merge,polars,START
20:39:02.261574,merge,polars,END
20:39:32.269583,merge,pandas,START
20:41:30.182564,merge,pandas,END
20:42:00.198148,read_write,polars,START
20:42:06.266088,read_write,polars,END
20:42:36.278056,groupby,vaex,START
20:43:05.713830,groupby,vaex,END
20:43:35.728873,merge,dask,START
20:43:37.288668,merge,dask,END
20:44:07.292717,read_write,pandas,START
20:45:22.915740,read_write,pandas,END
20:45:52.925696,merge,pandas,START
20:47:50.594328,merge,pandas,END
20:48:20.598325,merge,dask,START
20:48:20.775844,merge,dask,END
20:48:50.792695,merge,polars,START
20:49:10.477515,merge,polars,END
20:49:40.484807,read_write,pandas,START
20:50:56.394498,read_write,pandas,END
20:51:26.408448,merge,pandas,START
20:53:23.976275,merge,pandas,END
20:53:53.979450,read_write,pandas,START
20:55:09.868569,read_write,pandas,END
20:55:39.877482,read_write,polars,START
20:55:44.686099,read_write,polars,END
20:56:14.692931,merge,dask,START
20:56:14.870389,merge,dask,END
20:56:44.883861,merge,dask,START
20:56:45.061296,merge,dask,END
20:57:15.072678,read_write,dask,START
20:58:32.320957,read_write,dask,END
20:59:02.330072,merge,vaex,START
20:59:57.615218,merge,vaex,END
21:00:27.620217,groupby,polars,START
21:00:32.427000,groupby,polars,END
21:01:02.432420,merge,vaex,START
21:01:59.020431,merge,vaex,END
21:02:29.034474,read_write,polars,START
21:02:35.602674,read_write,polars,END
21:03:05.610824,groupby,pandas,START
21:03:41.576647,groupby,pandas,END
21:04:11.581020,groupby,vaex,START
21:04:42.885387,groupby,vaex,END
21:05:12.904278,merge,polars,START
21:05:34.227669,merge,polars,END
21:06:04.242187,merge,vaex,START
21:07:00.606189,merge,vaex,END
21:07:30.610618,groupby,dask,START
21:07:37.514990,groupby,dask,END
